trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,-100,-643.1573679455977,"{0: 73, 1: 16, 2: 23, 3: 4, 4: 9}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,-72,-735.8212264156971,"{0: 46, 1: 14, 2: 23, 3: 3, 4: 11}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,-9,-208.9905062028656,"{0: 19, 1: 1, 2: 11, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,-17,-66.47410596092568,"{0: 31, 1: 4, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,-54,-292.13076252880285,"{0: 47, 1: 5, 2: 16, 3: 3, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,-10,-267.38016262633244,"{0: 22, 1: 4, 2: 16, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-7,-144.73164176121333,"{0: 14, 1: 1, 2: 10, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,-100,-766.1205496054545,"{0: 70, 1: 13, 2: 30, 3: 9, 4: 8}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,-100,-609.4187124840229,"{0: 79, 1: 13, 2: 18, 3: 6, 4: 9}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-100,-719.2870752668623,"{0: 65, 1: 7, 2: 35, 3: 4, 4: 9}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,-100,-557.479594936617,"{0: 75, 1: 12, 2: 27, 3: 6, 4: 5}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-100,-425.45281542892405,"{0: 74, 1: 11, 2: 29, 3: 3, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,-100,-558.6952193136603,"{0: 69, 1: 12, 2: 30, 3: 3, 4: 6}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,-44,-221.32365546617885,"{0: 51, 1: 5, 2: 7, 3: 2, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,-56,-502.0383733022669,"{0: 47, 1: 4, 2: 13, 3: 3, 4: 9}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,-100,-638.9530801960993,"{0: 72, 1: 9, 2: 27, 3: 3, 4: 9}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,-48,-220.53427455917546,"{0: 51, 1: 6, 2: 18, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-100,-668.5310082244595,"{0: 75, 1: 6, 2: 23, 3: 7, 4: 9}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-31,-219.11728572458026,"{0: 30, 1: 8, 2: 10, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-56,-408.47348178960885,"{0: 49, 1: 7, 2: 8, 3: 5, 4: 7}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,6,-37.11409292218126,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",25,-100,-859.3502562720134,"{0: 67, 1: 13, 2: 25, 3: 8, 4: 12}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,-100,-662.2630541642617,"{0: 87, 1: 7, 2: 21, 3: 3, 4: 12}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,-80,-699.2899945374643,"{0: 55, 1: 9, 2: 18, 3: 8, 4: 10}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,-93,-825.9398398907477,"{0: 62, 1: 11, 2: 20, 3: 7, 4: 13}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,-10,-204.10484281138105,"{0: 18, 1: 6, 2: 6, 3: 3, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,-4,-61.02298014817611,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,-100,-624.1793372130436,"{0: 69, 1: 12, 2: 27, 3: 4, 4: 8}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,-42,-356.49325469917136,"{0: 36, 1: 10, 2: 14, 3: 4, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,-14,-125.98725679538073,"{0: 20, 1: 4, 2: 8, 3: 1, 4: 1}",0
