trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.618, 'e': 0.9999661743781456}",20,0,-153.06389015800428,"{0: 12, 1: 0, 2: 3, 3: 3, 4: 2}",0
2,False,"{'a': 0.618, 'e': 0.9998653009481172}",20,0,-212.3216533691785,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 3}",0
3,False,"{'a': 0.618, 'e': 0.9996982669207606}",30,0,-174.94894315708123,"{0: 16, 1: 7, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.618, 'e': 0.9994659363328511}",30,0,-105.61436099869599,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.618, 'e': 0.999169150943378}",20,0,-77.17057055582119,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.618, 'e': 0.9988087310841968}",25,0,-153.26335844981767,"{0: 10, 1: 5, 2: 8, 3: 1, 4: 1}",0
7,False,"{'a': 0.618, 'e': 0.9983854764679148}",20,0,-124.96442323956055,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.618, 'e': 0.997900166955668}",25,0,-133.10200673618903,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.618, 'e': 0.9973535632872441}",20,0,-69.18226495051235,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.618, 'e': 0.9967464077758352}",35,12,-75.48868818403412,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 0}",1
11,False,"{'a': 0.618, 'e': 0.9960794249695335}",25,0,-126.05809640519723,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.618, 'e': 0.9953533222815396}",25,9,-40.381113805601174,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 0}",1
13,False,"{'a': 0.618, 'e': 0.9945687905909086}",20,0,-132.53808003351278,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.618, 'e': 0.9937265048155381}",20,0,-47.955128691582466,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
15,False,"{'a': 0.618, 'e': 0.9928271244589828}",30,0,-141.0588862660822,"{0: 15, 1: 4, 2: 9, 3: 2, 4: 0}",0
16,False,"{'a': 0.618, 'e': 0.9918712941325704}",25,0,-126.62718627205335,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.618, 'e': 0.9908596440542033}",25,0,-36.35472437712154,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.618, 'e': 0.9897927905251278}",20,0,-79.5964254096624,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.618, 'e': 0.9886713363858761}",20,0,-5.491842800503969,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.618, 'e': 0.9874958714525075}",30,0,-147.99704301142563,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
21,False,"{'a': 0.618, 'e': 0.9862669729341986}",20,0,-74.0696379414703,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
22,False,"{'a': 0.618, 'e': 0.9849852058331716}",20,0,-101.44270295370916,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
23,False,"{'a': 0.618, 'e': 0.9836511233278821}",20,0,-49.633985092273115,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.618, 'e': 0.9822652671403358}",25,0,-53.703012813786586,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.618, 'e': 0.980828167888345}",20,0,-74.71149221239041,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
26,False,"{'a': 0.618, 'e': 0.9793403454234915}",20,0,-49.49848535655821,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
27,False,"{'a': 0.618, 'e': 0.9778023091555098}",20,0,-110.60265917148112,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
28,False,"{'a': 0.618, 'e': 0.9762145583637711}",20,0,-49.9288066398589,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
29,False,"{'a': 0.618, 'e': 0.9745775824964982}",25,0,-171.98697613300484,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
30,False,"{'a': 0.618, 'e': 0.972891861458312}",30,0,-147.8028090272296,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
31,False,"{'a': 0.618, 'e': 0.9711578658866726}",20,0,-54.563519039698164,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
32,False,"{'a': 0.618, 'e': 0.9693760574177458}",20,0,-30.03445070000761,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
33,False,"{'a': 0.618, 'e': 0.9675468889421948}",30,0,-159.2043790541206,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
34,False,"{'a': 0.618, 'e': 0.9656708048513726}",20,0,-170.33610084017394,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
35,False,"{'a': 0.618, 'e': 0.9637482412743578}",30,0,-204.11394276966104,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 4}",0
36,False,"{'a': 0.618, 'e': 0.9617796263062586}",25,0,-97.19390913764438,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
37,False,"{'a': 0.618, 'e': 0.9597653802281809}",20,16,6.1435887515537,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.618, 'e': 0.9577059157192402}",20,0,-111.57676123389948,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
39,False,"{'a': 0.618, 'e': 0.9556016380609703}",20,0,-147.53374587205195,"{0: 7, 1: 3, 2: 8, 3: 1, 4: 1}",0
40,False,"{'a': 0.618, 'e': 0.9534529453344707}",25,0,-130.31467545095182,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
41,False,"{'a': 0.618, 'e': 0.9512602286106084}",25,0,-89.76630304668748,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
42,False,"{'a': 0.618, 'e': 0.9490238721335809}",20,0,-81.25073619558682,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.618, 'e': 0.9467442534981233}",25,0,-148.91743723578568,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
44,False,"{'a': 0.618, 'e': 0.9444217438206379}",25,9,-45.44723281750121,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 0}",1
45,False,"{'a': 0.618, 'e': 0.9420567079044988}",25,0,-174.73996867862826,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
46,False,"{'a': 0.618, 'e': 0.9396495043997807}",25,0,-127.12728936702217,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
47,False,"{'a': 0.618, 'e': 0.9372004859576444}",20,0,-162.99288420606047,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
48,False,"{'a': 0.618, 'e': 0.9347099993796004}",25,0,-201.1038281358082,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
49,False,"{'a': 0.618, 'e': 0.9321783857618614}",30,0,-127.64731017517931,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
50,False,"{'a': 0.618, 'e': 0.9296059806349832}",30,0,-162.01682292949397,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
51,False,"{'a': 0.618, 'e': 0.9269931140989861}",25,0,-116.69396278153556,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
52,False,"{'a': 0.618, 'e': 0.9243401109541367}",25,8,-68.73839019724805,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 0}",1
53,False,"{'a': 0.618, 'e': 0.9216472908275648}",20,0,-131.12403874222872,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
54,False,"{'a': 0.618, 'e': 0.9189149682958773}",30,0,-130.77769274696306,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
55,False,"{'a': 0.618, 'e': 0.9161434530039291}",20,0,-81.78679959359745,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
56,False,"{'a': 0.618, 'e': 0.9133330497798973}",20,0,-80.59966372419727,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
57,False,"{'a': 0.618, 'e': 0.9104840587468037}",20,0,-42.88339101711856,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
58,False,"{'a': 0.618, 'e': 0.9075967754306218}",20,0,-89.79879686320523,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
59,False,"{'a': 0.618, 'e': 0.9046714908650939}",30,0,-230.7214956440259,"{0: 16, 1: 1, 2: 7, 3: 3, 4: 3}",0
60,False,"{'a': 0.618, 'e': 0.9017084916933897}",20,0,-72.10909636719704,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
61,False,"{'a': 0.618, 'e': 0.8987080602667176}",20,0,-47.52271715699294,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
62,False,"{'a': 0.618, 'e': 0.8956704747400055}",30,0,-212.74788697493673,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0
63,False,"{'a': 0.618, 'e': 0.8925960091647598}",20,15,-5.139157303704285,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.618, 'e': 0.8894849335792021}",25,0,-43.72068007854349,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
65,False,"{'a': 0.618, 'e': 0.8863375140957884}",25,0,-124.68690719922287,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
66,False,"{'a': 0.618, 'e': 0.8831540129861988}",20,0,-111.36661837619815,"{0: 7, 1: 5, 2: 6, 3: 2, 4: 0}",0
67,False,"{'a': 0.618, 'e': 0.879934688763893}",20,0,-57.62065291414173,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
68,False,"{'a': 0.618, 'e': 0.876679796264317}",25,0,-113.79723231118334,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
69,False,"{'a': 0.618, 'e': 0.8733895867228427}",35,13,-73.0533797256953,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 1}",1
70,False,"{'a': 0.618, 'e': 0.8700643078505205}",25,0,-188.10982946177506,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
71,False,"{'a': 0.618, 'e': 0.8667042039077231}",20,0,4.836741832931436,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.618, 'e': 0.8633095157757495}",20,5,-35.85092528338721,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.618, 'e': 0.8598804810264633}",30,0,-140.93255825648964,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
74,False,"{'a': 0.618, 'e': 0.8564173339900293}",25,4,-106.82491164639593,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 2}",1
75,False,"{'a': 0.618, 'e': 0.8529203058208146}",25,11,-26.101366869651,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
76,False,"{'a': 0.618, 'e': 0.8493896245615156}",30,0,-296.6584538270308,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 5}",0
77,False,"{'a': 0.618, 'e': 0.8458255152055689}",30,0,-55.95268959851243,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
78,False,"{'a': 0.618, 'e': 0.8422281997579062}",25,0,-161.22802965276554,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
79,False,"{'a': 0.618, 'e': 0.838597897294104}",25,0,-38.45724184007499,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
80,False,"{'a': 0.618, 'e': 0.8349348240179835}",30,12,-56.5744005944291,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
81,False,"{'a': 0.618, 'e': 0.8312391933177097}",25,0,-81.40946492378029,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
82,False,"{'a': 0.618, 'e': 0.8275112158204393}",20,0,-24.493134263478694,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
83,False,"{'a': 0.618, 'e': 0.8237510994455632}",20,0,-26.15210433248567,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
84,False,"{'a': 0.618, 'e': 0.8199590494565893}",25,0,-58.95468086080179,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
85,False,"{'a': 0.618, 'e': 0.816135268511706}",20,0,-30.50539890804973,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
86,False,"{'a': 0.618, 'e': 0.8122799567130748}",25,14,-62.34191721722338,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 1}",1
87,False,"{'a': 0.618, 'e': 0.8083933116548816}",25,0,-86.1230886491745,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
88,False,"{'a': 0.618, 'e': 0.8044755284701958}",20,10,8.653866561426936,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
